"DisplayName","State","IncludeUsers","IncludeGroups","ExcludeUsers","ExcludeGroups","IncludeApplications","GrantControls","CreatedDateTime","ModifiedDateTime"
"Block access for unsupported device platforms","enabled","All","","e6521e97-adae-4c21-b977-7167b35f10e9,3e850775-d617-487c-a297-d1fcb573e5d3","8d17bc0f-3015-49b1-809d-eb8dfbaa1d9f","All","block","7/16/2024 7:10:51 PM","1/22/2026 7:39:55 PM"
"No persistent browser session","enabled","All","","","","All","","7/17/2024 11:02:21 PM","1/22/2026 7:42:26 PM"
"Block adversary countries","enabled","All","","3e850775-d617-487c-a297-d1fcb573e5d3","","All","block","8/1/2024 12:52:49 AM","8/19/2024 4:31:39 PM"
"Require MFA for Users","enabled","All","","","8d17bc0f-3015-49b1-809d-eb8dfbaa1d9f","All","mfa","8/1/2024 1:04:31 AM","1/22/2026 7:23:55 PM"
"Require MFA for Admins","enabled","","","","8d17bc0f-3015-49b1-809d-eb8dfbaa1d9f","All","mfa","9/26/2024 4:31:24 PM","1/22/2026 7:41:57 PM"
"Only allow Outlook mobile app","enabled","","726f22c7-8d0b-4820-9047-7c3e0db058ed","3e850775-d617-487c-a297-d1fcb573e5d3","fe2a28f7-b1b4-4709-a33b-53124faab678","00000002-0000-0ff1-ce00-000000000000","compliantApplication","3/4/2025 8:41:05 PM","1/22/2026 7:41:32 PM"
"Microsoft-managed: Block device code flow","disabled","All","","3e850775-d617-487c-a297-d1fcb573e5d3,e6521e97-adae-4c21-b977-7167b35f10e9","","All","block","4/21/2025 11:42:06 PM","1/22/2026 7:39:23 PM"
"Microsoft-managed: Require phishing-resistant multifactor authentication for admins","enabledForReportingButNotEnforced","","","3e850775-d617-487c-a297-d1fcb573e5d3","8d17bc0f-3015-49b1-809d-eb8dfbaa1d9f","All","","1/14/2026 2:00:23 PM","1/14/2026 2:11:59 PM"
"Microsoft-managed: Block legacy authentication","enabledForReportingButNotEnforced","All","","3e850775-d617-487c-a297-d1fcb573e5d3,e6521e97-adae-4c21-b977-7167b35f10e9,c42b225b-d0a2-4bb0-bd9f-c3df23c1f6e5","","All","block","1/14/2026 2:00:23 PM","1/22/2026 7:22:56 PM"
"Block Legacy Authentication","enabled","All","","3e850775-d617-487c-a297-d1fcb573e5d3,e6521e97-adae-4c21-b977-7167b35f10e9,c42b225b-d0a2-4bb0-bd9f-c3df23c1f6e5","","All","block","1/22/2026 7:31:35 PM","1/22/2026 7:33:22 PM"
